School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio,Male to Female Ratio,Cluster (hier)
Illinois State University,IL,61790-1000,22,0.7678,8414,18199,0.4463,0.5537,0.7857,74746,20,0.8194,29758,0.3021,0.559,0.6932,0.7807304249,0.044,0.9282407213,0,20895,1.7769687163,0.5575490921,0.8060321474,20
Judson University,IL,60123-1498,12,0.2394,5994,1026,0.4288,0.5712,0.7582,75944,26,0.3853,40798,0.4275,0.6702,0.603,0.6543715847,0.063,0.9522135274,0,18737,1,0.6457020931,0.7507002801,14
Knox College,IL,61401,32,0.912,7233,1229,0.4304,0.5696,0.8116,71884,19,0.6832,58289,0.3361,0.6062,0.746,0.785046729,0.048,0.9152282796,0,22292,1,0.700142828,0.7556179775,30
Lake Forest College,IL,60045-2399,21,0.5676,8919,1527,0.4224,0.5776,0.8827,84677,19,0.552,60505,0.3398,0.7312,0.7297,0.8243727599,0.025,0.9059098261,0,26426,1,0.6861964386,0.7313019391,30
Lewis University,IL,60446-2200,21,0.4261,9240,4125,0.4887,0.5113,0.8417,79812,22,0.639,41938,0.3273,0.5684,0.6523,0.7259050306,0.036,0.9380332858,1,18664,1,0.5818337924,0.9557989439,38
Lincoln Christian University,IL,62656-2111,32,0.7561,5550,357,0.535,0.465,0.7656,60672,24,0.7782590072,26311,0.4169,0.5976,0.6538,0.6682577566,0.069,1.0323628756,0,18141,1,1.0567077973,1.1505376344,7
Lincoln College,IL,62656,32,0.3019,5428,1034,0.4555,0.5445,0.4886,67725,21,0.6685,34934,0.6436,0.7541,0.2933,0.380033557,0.083,1.0586336494,0,21797,1,0.6932021467,0.8365472911,5
Loyola University Chicago,IL,60660,11,0.5159,11146,12104,0.3291,0.6709,0.8545,76055,20,0.6722,59194,0.2501,0.5701,0.7422,0.8062932381,0.034,0.9144262614,1,35407,1,0.5218876518,0.4905351021,40
McKendree University,IL,62254-1291,21,1,6655,1764,0.479,0.521,0.7508,58622,23,0.6335,42941,0.3512,0.5373,0.5757,0.6586237712,0.069,1.0020128129,0,19844,1,0.7005780584,0.9193857965,6
Methodist College,IL,61615,12,0.5119,6852,675,0.1022,0.8978,0.5,67457.133735,27,0.4394,37283,0.5167,0.869,0.4048,0.7420634921,0.035,0.9893878605,0,35862,1,0.7116252309,0.113833816,17
Millikin University,IL,62522-2084,13,0.7054,6237,1929,0.4474,0.5526,0.7479,63904,21,0.7125,48766,0.3747,0.674,0.5838,0.7195027195,0.093,0.9754533577,0,21331,1,0.779774661,0.8096272168,13
Monmouth College,IL,61462-1998,32,0.7838,6812,900,0.5,0.5,0.7942,66145,19,0.6667,49178,0.3665,0.7177,0.5975,0.7582697201,0.045,0.9780633478,0,17061,1,0.7979062939,1,13
National Louis University,IL,60603,11,0.9948,6195,3279,0.2739,0.7261,0.5753,67361,30,0.9767,23294,0.5742,0.4284,0.2222,0.5534913517,0.068,1.0177433639,0,14957,1,0.7093960618,0.3772207685,25
North Central College,IL,60540,12,0.5032,8552,2578,0.4659,0.5341,0.7782,86906,20,0.5364,51483,0.2816,0.6475,0.6855,0.7846034215,0.039,0.9232337219,0,24786,1,0.5692251194,0.8723085565,30
North Park University,IL,60625-4895,11,1,7940,1906,0.3867,0.6133,0.7482,70754,22,0.4764,38189,0.4474,0.6862,0.6067,0.7261904762,0.057,0.9629746715,0,19170,1,0.6858038601,0.630523398,13
Northern Illinois University,IL,60115-2828,23,0.7328,8616,12107,0.4881,0.5119,0.7204,75712,21,0.4835,28722,0.4403,0.6067,0.4707,0.6865373961,0.083,0.987788842,0,18259,1,0.7196355508,0.9535065442,6
Northwestern University,IL,60208,13,0.8322,17483,8530,0.4875,0.5125,0.9819,81811,20,0.0905,74630,0.1767,0.2241,0.942,0.8984298332,0.008,0.7652664044,0,24664,1,0.3373608387,0.9512195122,36
Northeastern Illinois University,IL,60625-4699,11,0.5651,8265,5626,0.4305,0.5695,0.5882,61978,24,0.5848,23811,0.4815,0.3083,0.2121,0.632,0.074,0.9967211614,0,15843,1.8461874018,0.6640532956,0.7559262511,24
Olivet Nazarene University,IL,60914-2271,23,0.323,7244,3079,0.4115,0.5885,0.7659,66225,22,0.5776,47290,0.333,0.7218,0.6254,0.7268351384,0.034,0.9095769593,0,20195,1,0.7044919246,0.6992353441,13
Quincy University,IL,62301-2699,33,0.5421,5693,957,0.4922,0.5078,0.6705,58100,21,0.6176,40447,0.3614,0.6386,0.5233,0.6880841121,0.079,0.965148513,1,17497,1,0.6691851052,0.9692792438,37
Rockford University,IL,61108-2311,12,0.3541,5726,943,0.4401,0.5599,0.6582,64497,22,0.5424,41928,0.4708,0.7042,0.3963,0.6335766423,0.069,0.9844545629,0,22197,1,0.7009532965,0.7860332202,5
Roosevelt University,IL,60605-1394,11,0.352,8367,2293,0.3371,0.6629,0.7337,70632,23,0.673,44929,0.4214,0.6041,0.3971,0.5385149202,0.067,1.0008036069,0,22749,1,0.8368737383,0.5085231558,13
Dominican University,IL,60305,21,0.4296,7368,2137,0.3154,0.6846,0.7718,69994,21,0.6434,41882,0.5057,0.6823,0.6264,0.6950819672,0.055,0.9601246259,1,19268,1,0.6062787746,0.4607069822,37
University of St Francis,IL,60435-6188,21,0.886,8005,1646,0.3402,0.6598,0.8131,76865,23,0.4562,41946,0.3708,0.6734,0.6215,0.6789536266,0.033,0.9680437825,1,17538,1,0.6302732865,0.5156107911,37
Saint Xavier University,IL,60655,11,0.3863,7474,2943,0.3772,0.6228,0.7624,69054,21,0.7265,41349,0.5394,0.8041,0.5623,0.6504109589,0.063,0.9689262978,1,14528,1,0.6585293573,0.6056518947,37
University of Illinois Springfield,IL,62703-5407,12,0.6584,8063,2613,0.4914,0.5086,0.7891,58971,25,0.7681,24610,0.3465,0.4407,0.5276,0.6638477801,0.055,0.9977359234,0,12477,1.8063150766,0.6441795485,0.9661816752,22
Southern Illinois University-Carbondale,IL,62901-4512,13,0.7951,7698,8375,0.5378,0.4622,0.7509,59313,22,0.6638,28904,0.3731,0.5267,0.451,0.571597013,0.102,0.9940925366,0,16945,1.9699409554,0.7274142983,1.163565556,22
Southern Illinois University-Edwardsville,IL,62026-1259,21,0.7161,8360,10339,0.4612,0.5388,0.7869,59952,21,0.8567,24012,0.3443,0.5005,0.4974,0.6878253905,0.068,0.9938983669,0,14423,1,0.6551063459,0.8559762435,22
Trinity Christian College,IL,60463-0929,21,0.4967,7188,926,0.3348,0.6652,0.7778,74534,24,0.6906,42109,0.3749,0.6444,0.6368,0.7262813522,0.05,0.9341459471,0,21904,1,0.7176055147,0.503307276,14
Trinity International University-Illinois,IL,60015-1283,21,0.3416,7602,565,0.5965,0.4035,0.6494,72368,26,0.6024,45579,0.3942,0.7623,0.531,0.6231527094,0.059,0.9876294547,0,21204,1,0.9907990868,1.478314746,7
Western Illinois University,IL,61455,33,0.8752,9001,5958,0.4735,0.5265,0.6746,67698,21,0.5666,25732,0.4896,0.6599,0.4836,0.6919535997,0.088,1.0119758249,0,16210,1,0.8059478955,0.8993352327,6
Wheaton College,IL,60187-5593,21,0.6754,9366,2358,0.4559,0.5441,0.9262,81885,19,0.8481,49214,0.2103,0.4902,0.8777,0.929558011,0.007,0.808816946,0,25358,1,0.5610308006,0.8378974453,30
Anderson University,IN,46012-3495,13,1,6315,1266,0.4155,0.5845,0.6869,64040,21,0.6274,43443,0.3612,0.708,0.6034,0.6885813149,0.076,0.9626350965,0,22351,1,0.9371592939,0.7108639863,13
Ball State University,IN,47306,13,0.8253,7585,15610,0.3994,0.6006,0.7546,62817,20,0.7671,24093,0.3388,0.5623,0.6471,0.6851642129,0.054,0.9686881217,0,15147,2.6746506986,0.6966517177,0.665001665,20
Bethel University,IN,46545-5591,13,0.9867,5833,1174,0.3756,0.6244,0.6441,61051,24,0.9376,39577,0.4233,0.6405,0.6905,0.6898349262,0.051,0.960008332,0,17558,1,0.8677015915,0.601537476,14
Butler University,IN,46208,11,1,8777,4535,0.4004,0.5996,0.8756,71968,19,0.7317,59326,0.143,0.4672,0.8227,0.8703190014,0.026,0.882205041,0,37645,1,0.5320108206,0.667778519,31
Calumet College of Saint Joseph,IN,46394,21,0.2414,5772,543,0.5359,0.4641,0.4712,57573,24,0.786155081,23888,0.1884,0.2551,0.354,0.4174311927,0.129,1.0464338197,1,10275,1,0.731368484,1.1547080371,37
DePauw University,IN,46135-1772,32,0.8817,9375,1944,0.4789,0.5211,0.8582,72050,19,0.6436,64924,0.1967,0.4114,0.8474,0.8400673401,0.025,0.910445912,0,23078,1,0.5763504211,0.9190174631,30
Earlham College,IN,47374-4095,32,0.9091,6438,919,0.4331,0.5669,0.797,66410,19,0.6343,59782,0.2702,0.4803,0.6394,0.7924528302,0.034,0.9008400989,0,21370,1,0.759511151,0.7639795378,30
University of Evansville,IN,47722,12,0.9583,8177,1876,0.419,0.581,0.8353,61532,20,0.7067,50135,0.2247,0.4516,0.7088,0.8379942141,0.033,0.9328292674,0,21626,1,0.7537439254,0.7211703959,12
Franklin College,IN,46131-2623,21,0.7544,6659,891,0.4804,0.5196,0.7361,61682,19,0.8129,45152,0.3721,0.7233,0.6308,0.8056537102,0.067,0.9713183082,0,21838,1,0.809371672,0.9245573518,12
Goshen College,IN,46526-4794,13,0.5505,5977,802,0.3815,0.6185,0.76,61693,23,0.6299,45214,0.3385,0.5976,0.6657,0.8354166667,0.067,0.8878472645,0,19342,1,0.6970602243,0.6168148747,12
Grace College and Theological Seminary,IN,46590-1274,32,0.9828,7183,1377,0.3994,0.6006,0.8435,63627,22,0.799,35338,0.3194,0.5772,0.6285,0.8512110727,0.045,0.8937981013,0,20820,1,0.770029208,0.665001665,12
Hanover College,IN,47243,32,0.9307,7726,1065,0.4451,0.5549,0.7865,64885,19,0.6482,51622,0.3107,0.5797,0.704,0.773006135,0.043,0.9769834791,0,20952,1,0.6561017462,0.8021265093,30
Holy Cross College,IN,46556-0308,21,0.3038,5785,445,0.582,0.418,0.3434,72725,21,0.9361,43943,0.2625,0.4749,0.4632,0.7035714286,0.101,0.9638449364,1,27479,1,0.6586119186,1.3923444976,37
Huntington University,IN,46750,32,1,6770,996,0.4187,0.5813,0.8211,63046,21,0.7546,37488,0.3515,0.5998,0.6536,0.8293577982,0.062,0.9519974374,0,22869,1,0.9412923077,0.7202821263,12
Purdue University Fort Wayne,IN,46805-1499,11,0.9228,7632,6750,0.4901,0.5099,0.5697,61940,21,0.8143,18450,0.2931,0.3328,0.3946,0.5747883349,0.076,0.9877316167,0,10912,2.4009779951,0.9329981676,0.9611688566,24
Indiana University-Purdue University-Indianapolis,IN,46202-5143,11,0.5653,8593,20500,0.4164,0.5836,0.7291,64749,22,0.8073,20613,0.3631,0.4276,0.4891,0.6012820513,0.057,0.9944788249,0,11285,3.1656530255,0.78877624,0.7135023989,20
University of Indianapolis,IN,46227-3697,11,1,7658,4385,0.3662,0.6338,0.7332,63891,21,0.9279,43005,0.3773,0.6131,0.6,0.5969711773,0.061,0.9777179134,0,20512,1,0.8398244767,0.5777847902,14
Indiana Institute of Technology,IN,46803-1228,11,1,7761,1488,0.6465,0.3535,0.677,60972,30,0.5964,39158,0.3953,0.7393,0.3575,0.5023622047,0.231,1.0483376445,0,19305,1,0.7439991311,1.828854314,7
University of Southern Indiana,IN,47712,22,1,7260,7029,0.3648,0.6352,0.6683,57279,21,0.9332,19721,0.2656,0.384,0.4842,0.6109678931,0.05,0.9631321657,0,13437,2.3234261643,0.7275242707,0.5743073048,21
Indiana State University,IN,47809,13,0.7261,7411,9603,0.4375,0.5625,0.6521,56049,22,0.8957,22318,0.4103,0.5669,0.4105,0.5913675815,0.119,1.0163047846,0,13896,2.1827631009,0.7604076778,0.7777777778,24
Indiana University-Kokomo,IN,46902-9003,13,0.5484,6365,2752,0.3434,0.6566,0.6397,60071,24,0.7364,16112,0.3918,0.4186,0.3769,0.5280478684,0.088,1.0148940355,0,9796,2.6541782915,0.8304866258,0.5229972586,24
Indiana University-South Bend,IN,46615-7111,12,0.627,6536,4432,0.3597,0.6403,0.6787,59249,22,0.777,16128,0.4404,0.4476,0.3514,0.5344568161,0.074,1.0139548446,0,8717,2.6541782915,0.9806428788,0.5617679213,24
Indiana University-Bloomington,IN,47405-7000,13,0.8764,10670,32794,0.5064,0.4936,0.9016,70094,19,0.7791,24698,0.188,0.3146,0.7844,0.7770938446,0.043,0.9210049069,0,13253,3.3353430164,0.5270853878,1.0259319287,27
Indiana University-Northwest,IN,46408-1197,13,0.5,7275,3286,0.2803,0.7197,0.6445,61713,23,0.7462,13845,0.4154,0.4344,0.3426,0.3877402974,0.058,1.0409686544,0,7755,2.6541782915,1.0190405834,0.3894678338,24
Indiana University-Southeast,IN,47150,21,0.978,7119,4316,0.3865,0.6135,0.615,57669,22,0.8191,16942,0.3846,0.3986,0.3391,0.5452562704,0.085,1.0121481474,0,10657,2.6541782915,0.7761554326,0.62999185,24
Indiana University-East,IN,47374-1289,41,0.4054,6940,3135,0.349,0.651,0.6296,51277,26,0.6252,15180,0.3673,0.4188,0.4013,0.4523809524,0.074,1.0027690324,0,7722,2.6541782915,0.8619172125,0.5360983103,24
Manchester University,IN,46962,32,0.8551,7912,1072,0.4627,0.5373,0.6716,60877,19,0.5607,44416,0.4292,0.9258,0.5515,0.7236421725,0.06,0.9661293558,0,17557,1,0.6637547105,0.8611576401,5
Marian University,IN,46222-1997,11,0.5084,6894,2237,0.3648,0.6352,0.8325,65206,25,0.6154,48252,0.2356,0.659,0.5997,0.6081193041,0.058,0.9694475723,1,19658,1,0.7122642405,0.5743073048,38
Indiana Wesleyan University-Marion,IN,46953-4974,32,1,7269,2582,0.3594,0.6406,0.7939,62930,31,0.67,38455,0.278,0.5713,0.6884,0.6156229826,0.069,1.0050500966,0,20946,1,0.6524416019,0.5610365283,14
Martin University,IN,46218-0567,11,0.75,4915,214,0.271,0.729,0.375,51133,33,0.7332954489,22222,0.8327,0.8694,0.0588,0.1399808245,0.201,1.1108188471,0,14998,1,1.9674918638,0.3717421125,1
University of Notre Dame,IN,46556,21,0.903,14604,8689,0.5212,0.4788,0.9778,76710,19,0.1583,71780,0.1057,0.313,0.9641,0.9450704225,0.007,0.7688069904,1,33025,1,0.3748791619,1.0885547201,40
Oakland City University,IN,47660-1099,32,0.2079,5733,602,0.505,0.495,0.6667,52931,26,0.5475,37276,0.1852,0.2226,0.5482,0.6011730205,0.097,1.0106848056,0,11894,1,0.9252802661,1.0202020202,6
Rose-Hulman Institute of Technology,IN,47803-3920,13,0.9505,11090,1992,0.757,0.243,0.8958,67724,19,0.7421,67697,0.1276,0.4542,0.836,0.9086826347,0.002,0.7183139189,0,39076,1,0.4076765359,3.1152263374,32
University of Saint Francis-Fort Wayne,IN,46808-3994,11,0.4557,6736,1741,0.301,0.699,0.6879,63802,23,0.9622,39513,0.4224,0.7087,0.5495,0.6840363937,0.066,0.9805129041,1,17796,1,0.7472484104,0.4306151645,37
Saint Mary-of-the-Woods College,IN,47876-1099,41,0.2902,5627,755,0.1444,0.8556,0.6564,56558,28,0.6723,42872,0.5463,0.7165,0.5659,0.5415512465,0.086,1.0129873187,1,15669,1,0.9571975976,0.1687704535,37
Saint Mary's College,IN,46556,21,0.6781,7448,1425,0,1,0.8213,72879,19,0.8121,56712,0.2493,0.625,0.7843,0.8646967341,0.031,0.916511026,1,24247,1,0.5824728621,0,39
Taylor University,IN,46989-1001,32,0.6473,6866,1834,0.4607,0.5393,0.8512,68822,21,0.6813,47199,0.1684,0.419,0.7981,0.8630319149,0.019,0.8737486175,0,25888,1,0.6509539843,0.8542555164,30
Trine University,IN,46703-1764,32,0.4444,7426,2120,0.6632,0.3368,0.7551,60275,23,0.8157,46440,0.1487,0.3542,0.6432,0.6395039858,0.048,0.9217718145,0,23202,1,0.5853805918,1.9691211401,32
Valparaiso University,IN,46383,21,0.7511,7866,2965,0.4422,0.5578,0.8439,72576,20,0.8585,51907,0.2788,0.5674,0.7118,0.7832840237,0.029,0.8991402805,0,18852,1,0.6402564608,0.7927572607,30
Wabash College,IN,47933-0352,32,0.932,8663,866,1,0,0.9051,66824,19,0.6419,57250,0.2902,0.6746,0.7221,0.7833827893,0.026,0.9449058052,0,19015,1,0.4887662594,,32
Allen College,IA,50703-1999,13,0.5357,7412,339,0.0944,0.9056,0.9169050844,55286,24,0.6082942543,52163.270238,0.2953,0.8363,1,0.8649635036,0.004,0.8790036028,0,27658.087176,1,0.481563016,0.1042402827,18
Briar Cliff University,IA,51104,13,0.6979,6006,791,0.4501,0.5499,0.6575,55366,23,0.803569236,44276,0.4539,0.6742,0.4279,0.7395683453,0.079,0.9875024807,1,20604,1,0.6986561496,0.8185124568,37
Buena Vista University,IA,50588,33,0.3647,6543,1414,0.3614,0.6386,0.7015,51579,26,0.5735,46556,0.4898,0.7671,0.5755,0.6960148285,0.059,0.9807999961,0,17544,1,0.7321192868,0.5659254619,14
Central College,IA,50219,32,0.9806,7349,1113,0.5265,0.4735,0.8201,59591,19,0.6507,52097,0.2668,0.7189,0.6916,0.8317191283,0.028,0.8938486791,0,23269,1,0.7678575019,1.1119324182,13
Clarke University,IA,52001-3198,13,0.5674,6167,669,0.4634,0.5366,0.7245,57836,20,0.9385,46369,0.1989,0.4879,0.6329,0.778584392,0.046,0.9498987463,1,34204,1,0.7397257375,0.8635855386,37
Coe College,IA,52402-5092,12,1,6852,1377,0.4532,0.5468,0.799,61192,19,0.6333,56849,0.3474,0.718,0.6564,0.8186356073,0.031,0.9190246777,0,19955,1,0.7268676723,0.8288222385,13
Cornell College,IA,52314-1098,31,1,7689,1017,0.527,0.473,0.7635,67428,19,0.6177,58286,0.2529,0.6187,0.7255,0.7980582524,0.027,0.9421211184,0,26901,1,0.7064570171,1.1141649049,30
Dordt University,IA,51250-1606,33,0.6377,6509,1313,0.5491,0.4509,0.8055,61155,19,0.7546,44756,0.2395,0.5386,0.7421,0.9303797468,0.018,0.7855576246,0,25102,1,0.6332530521,1.2177866489,30
Drake University,IA,50311-4505,12,0.6694,9566,2902,0.4108,0.5892,0.8409,70375,20,0.6764,56051,0.1871,0.4793,0.798,0.8650674663,0.022,0.910900943,0,29432,1,0.5981614406,0.6972165648,30
University of Dubuque,IA,52001,13,1,5731,1894,0.5539,0.4461,0.6452,58943,22,0.7269,45455,0.5277,0.8243,0.431,0.6919959473,0.146,0.9819251786,0,26748,1,0.7795670705,1.2416498543,5
Graceland University-Lamoni,IA,50140,43,0.9873,6150,966,0.4234,0.5766,0.764,56137,23,0.5811,42440,0.4856,0.7551,0.4818,0.6877880184,0.08,0.9983598635,0,17650,1,0.7775536182,0.7343045439,5
Grand View University,IA,50316,12,0.4063,6675,1725,0.4614,0.5386,0.6769,62140,23,0.9587,38633,0.4091,0.7097,0.5256,0.6713947991,0.077,0.958001048,0,19826,1,0.6976603102,0.8566654289,14
Grinnell College,IA,50112-1690,33,0.8162,11518,1697,0.4691,0.5309,0.9417,70311,19,0.2308,67902,0.1981,0.3945,0.8616,0.8994708995,0.026,0.7915001212,0,22486,1,0.4286578806,0.8835938972,34
Iowa State University,IA,50011-2103,13,0.8351,11329,27930,0.5736,0.4264,0.8717,61269,20,0.9205,21093,0.2097,0.4766,0.7437,0.7874227962,0.033,0.9150841802,0,15496,2.6296137339,0.5666858468,1.3452157598,26
Iowa Wesleyan University,IA,52641,33,0.3304,6004,591,0.4805,0.5195,0.5529,55010,21,0.5831,39906,0.4984,0.6369,0.2663,0.6231884058,0.148,0.9778171201,0,26312,1.2401667716,0.6642701815,0.9249278152,5
University of Iowa,IA,52242-1316,13,0.8442,11308,22920,0.4596,0.5404,0.8593,63769,20,0.8255,24239,0.2031,0.4269,0.7272,0.7640859343,0.035,0.9446148368,0,19145,3.2863835103,0.5278855064,0.8504811251,26
Loras College,IA,52004-0178,13,0.7832,6777,1288,0.5637,0.4363,0.7632,66273,19,0.7532,45268,0.2592,0.6856,0.6714,0.8639455782,0.032,0.9222357411,1,20676,1,0.6865643177,1.2920009168,38
Luther College,IA,52101-1045,33,0.7689,7651,1918,0.427,0.573,0.8394,65739,19,0.6227,55756,0.1786,0.6404,0.7726,0.8481724461,0.022,0.8960564294,0,23620,1,0.6320963429,0.7452006981,30
Maharishi International University,IA,52557,33,0.8906,3345,456,0.2961,0.7039,0.5556,60879,28,0.8113,28730,0.6296,0.6574,0.6863,0.6586538462,0.039,1.036065479,0,12441,1,2.0270228596,0.4206563432,1
Mercy College of Health Sciences,IA,50309-1239,12,0.459,5835,791,0.1504,0.8496,0.5333,62864,26,0.9781,29130,0.4333,0.7675,0.3809,0.7222222222,0.045,0.9594497918,1,21989,1,0.6148897928,0.1770244821,39
Morningside College,IA,51106-1751,13,1,6969,1216,0.5008,0.4992,0.6841,54990,22,0.6309,45125,0.3167,0.7324,0.5683,0.8123287671,0.062,0.936373763,0,21337,1,0.6494285029,1.0032051282,13
Mount Mercy University,IA,52402-4797,12,1,6087,1429,0.3205,0.6795,0.7531,61693,24,0.6599,45764,0.4011,0.7295,0.6763,0.7536394177,0.043,0.9630904924,1,20857,1,0.6593801826,0.4716703458,38
Ashford University,CA,92123,11,0.0806,6588,26394,0.2947,0.7053,0.2449,62011,33,0.7430554115,24972,0.5112,0.5666,0.0777,0.2926812706,0.147,1.0696891425,0,20510,1,1.1470351489,0.4178363817,2
University of Northern Iowa,IA,50614-0005,13,0.7728,8344,8788,0.4124,0.5876,0.8347,56117,20,0.7905,20632,0.2644,0.5461,0.6646,0.770531401,0.036,0.9499406153,0,15620,2.3743566793,0.6254665779,0.701837985,23
Northwestern College,IA,51041,32,0.9885,6804,1038,0.4538,0.5462,0.7638,58600,20,0.6952,44461,0.2656,0.6123,0.6809,0.8753665689,0.028,0.883823637,0,22968,1,0.7404685551,0.8308311974,30
Saint Ambrose University,IA,52803-2898,12,1,7514,2249,0.4518,0.5482,0.7584,63314,21,0.7679,45709,0.2785,0.6812,0.654,0.7768421053,0.053,0.9545395265,1,26204,1,0.5906593407,0.8241517694,38
Simpson College,IA,50125,31,0.4235,6703,1296,0.4722,0.5278,0.7778,60274,21,0.8046,51943,0.3487,0.7153,0.7051,0.8261738262,0.037,0.9512297457,0,19151,1,0.6913170578,0.8946570671,13
Upper Iowa University,IA,52142-1857,43,1,5842,3438,0.3837,0.6163,0.6416,57565,29,0.5128,43750,0.3999,0.564,0.4523,0.6133679055,0.072,1.0074386269,0,21624,1,0.757729449,0.6225864027,14
Waldorf University,IA,50436-1713,33,0.2459,5441,2461,0.5969,0.4031,0.5322,57010,29,0.6614,33998,0.4784,0.5235,0.2915,0.5720524017,0.103,1.0148810571,0,20036,1,0.7067943456,1.4807740015,7
Wartburg College,IA,50677-0903,32,1,6803,1478,0.4547,0.5453,0.7833,58222,19,0.7514,53503,0.2457,0.6756,0.6502,0.8538461538,0.046,0.9234101377,0,21787,1,0.5864104116,0.833852925,30
William Penn University,IA,52577,33,0.9574,5754,1162,0.5482,0.4518,0.5587,58579,22,0.5821,37654,0.5329,0.8295,0.3476,0.5685358255,0.148,1.0308058,0,20637,1,0.8152265193,1.2133687472,5
Baker University,KS,66006-0065,31,0.2409,6031,1390,0.4209,0.5791,0.7541,67758,25,0.8798,45149,0.2666,0.5075,0.617,0.6991584853,0.075,0.9875584872,0,22879,1,0.6737905781,0.7268174754,12
Benedictine College,KS,66002-1499,32,0.6703,6922,1953,0.4813,0.5187,0.7684,64485,19,0.9705,44717,0.1969,0.5503,0.622,0.8147058824,0.038,0.8909183871,1,23011,1,0.7274135477,0.9278966647,38
Bethany College,KS,67456-1897,33,1,5454,762,0.5551,0.4449,0.5842,57710,20,0.6767,44829,0.4857,0.8497,0.3158,0.664921466,0.138,0.9899752793,0,23343,1,0.7940342275,1.2476961115,5
Bethel College-North Newton,KS,67117-1716,32,0.6508,5622,450,0.5244,0.4756,0.6729,58345,21,0.5748,42063,0.4347,0.75,0.4777,0.7819548872,0.095,0.9608759634,0,21646,1,0.6724657802,1.102607233,5
Central Christian College of Kansas,KS,67460-5740,33,0.338,3708,591,0.4721,0.5279,0.6111,55393,32,0.7052680147,30061,0.6694,0.8237,0.3404,0.6007751938,0.213,1.0289253165,0,14386,1,0.8520545315,0.8942981625,3
Emporia State University,KS,66801-5415,33,0.8847,6946,3258,0.3653,0.6347,0.7668,56675,21,0.8467,18820,0.353,0.6397,0.4752,0.6610414658,0.067,1.0035756611,0,14822,3.0475209651,0.7764887668,0.5755475028,21
Fort Hays State University,KS,67601-4099,33,0.521,7106,12828,0.401,0.599,0.7448,50801,26,0.9115,17169,0.2716,0.3584,0.4341,0.6628420124,0.071,1.011233798,0,12053,2.9090909091,0.8165953243,0.6694490818,21
Barclay College,KS,67059-0288,43,0.5143,4680,188,0.5213,0.4787,0.6452,57474,24,0.5125,32500,0.5962,0.6573,0.4545,0.6117647059,0.148,1.0465119953,0,23153,1,1.1192744805,1.0889910173,5
Friends University,KS,67213,11,1,6634,1032,0.4574,0.5426,0.6879,60343,24,0.4581,40226,0.3451,0.5265,0.434,0.608490566,0.086,1.0053768187,0,20686,1,0.8222493432,0.8429782529,6
University of Kansas,KS,66045,13,0.8515,10430,19003,0.4785,0.5215,0.8615,70891,21,0.931,25892,0.2128,0.4175,0.6567,0.7237262252,0.052,0.9543863342,0,18918,2.5106573527,0.5497818607,0.9175455417,26
Newman University,KS,67213-2097,11,0.9785,5805,997,0.3711,0.6289,0.7222,62008,24,0.6747,38854,0.1432,0.2176,0.5298,0.6590909091,0.052,0.9950506476,1,16497,1,0.6662783458,0.5900779138,37
Kansas State University,KS,66506,13,0.9058,9289,16949,0.5212,0.4788,0.8576,59909,21,0.9537,24304,0.2272,0.4455,0.6461,0.7467897271,0.053,0.9485616537,0,18285,2.5206896552,0.6878778484,1.0885547201,26
Kansas Wesleyan University,KS,67401-6146,33,1,5769,637,0.5824,0.4176,0.6849,54592,20,0.6063,41840,0.4694,0.8132,0.3966,0.6090750436,0.096,0.9876017037,0,21804,1,0.7577410898,1.3946360153,5
Manhattan Christian College,KS,66502-4801,13,0.3939,5405,171,0.5848,0.4152,0.6143,58385,21,0.4417,33820,0.3982,0.6372,0.6369,0.7181818182,0.1,0.9580141219,0,25199,1,0.6571381633,1.408477842,5
McPherson College,KS,67460-1402,33,0.6923,6601,764,0.6872,0.3128,0.578,59250,20,0.521,43011,0.3821,0.6995,0.3855,0.7146596859,0.12,0.9761819243,0,23667,1,0.8537279454,2.1969309463,5
MidAmerica Nazarene University,KS,66062-1899,21,0.9625,6313,1115,0.4009,0.5991,0.7195,69737,25,0.5464,46178,0.3507,0.5896,0.4242,0.7214285714,0.087,0.9554974514,0,26222,1,0.6369046434,0.6691704223,6
Ottawa University-Ottawa,KS,66067-3399,32,0.9512,6335,673,0.6137,0.3863,0.5021,65346,29,0.1454,45255,0.5,0.8881,0.4737,0.5343443354,0.081,1.0133539635,0,24585,1,0.6836659276,1.5886616619,8
Pittsburg State University,KS,66762,32,0.6964,7500,4890,0.5135,0.4865,0.7377,50242,21,0.9555,18267,0.3438,0.5415,0.5252,0.6766969909,0.094,0.9843721561,0,14436,2.5459253203,0.6910769097,1.0554984584,21
University of Saint Mary,KS,66048-5082,31,0.4805,6151,763,0.5072,0.4928,0.6343,62613,23,0.8398,40685,0.4563,0.9003,0.5364,0.7190082645,0.088,0.9943961984,1,21000,1,0.6349238091,1.0292207792,37
